TransactionID,SubscriberKey,MemberID,ContractID,Quantity,CreatedDate,JournalType,JournalSubType,Status
XJxQU2a715,SUBK64884,MBR13827,CT129399,2700,24-11-2023 06:38:47,Acumulación,Cross Selling,En proceso
EGvrDab1c3,SUBK29675,MBR59146,CT59464,2450,03-01-2024 05:17:18,Rendención,MGM,En proceso
QozFHed105,SUBK61196,MBR87327,CT122109,9600,09-02-2024 04:58:21,Acumulación,Cross Selling,En proceso
hoMpHe2100,SUBK28251,MBR18197,CT56646,3850,17-01-2024 10:50:49,Acumulación,Cross Selling,En proceso
MIsBP3a2de,SUBK27489,MBR4893,CT55133,3900,13-06-2023 17:56:05,Acumulación,Cross Selling,En proceso
gzNZJ96d5c,SUBK62803,MBR49629,CT125277,8950,31-03-2024 23:37:40,Rendención,MGM,En proceso
kfHkG45db5,SUBK3261,MBR38517,CT06564,350,25-08-2023 23:28:13,Rendención,Cross Selling,Completado
pUJXWbd876,SUBK87350,MBR5176,CT174262,3000,18-05-2024 01:53:14,Rendención,MGM,Completado
Vsqfn8a9a2,SUBK89130,MBR80238,CT177833,5150,30-08-2024 15:39:24,Rendención,MGM,En proceso
NHaFG3e533,SUBK11708,MBR245,CT23541,4500,05-09-2023 08:49:14,Rendención,Cross Selling,En proceso
txbcZ1ed2f,SUBK56066,MBR35036,CT111921,8450,17-09-2023 14:31:29,Rendención,MGM,Completado
iapxQc5662,SUBK44454,MBR18201,CT88799,6550,09-06-2023 13:35:44,Rendención,MGM,Completado
bbhuS1cabd,SUBK52588,MBR9876,CT104986,2150,10-03-2024 10:07:22,Acumulación,Bienvenida,Completado
vVEcmde4d9,SUBK57304,MBR72608,CT114374,9000,24-04-2023 13:05:27,Rendención,MGM,Completado
cwwbZc8741,SUBK15984,MBR10150,CT32145,6650,29-08-2023 14:01:57,Rendención,MGM,Completado
LrctOf3452,SUBK86673,MBR64037,CT172913,9650,13-03-2024 07:37:17,Acumulación,MGM,En proceso
vJdPA43f1a,SUBK18428,MBR63828,CT36992,7700,26-08-2024 08:00:29,Acumulación,MGM,Completado
eokic6ba9a,SUBK55278,MBR8151,CT110356,7550,16-01-2024 02:28:19,Rendención,Cross Selling,Completado
FAvFP7f817,SUBK12680,MBR72404,CT25478,4800,03-11-2024 21:50:56,Acumulación,Cross Selling,Completado
RgOsjef477,SUBK82513,MBR17465,CT164578,9600,14-04-2024 08:31:09,Acumulación,Bienvenida,En proceso
WsWJvd91de,SUBK74380,MBR30834,CT148308,9300,30-10-2024 23:36:29,Rendención,Cross Selling,Completado
DggOt91a5f,SUBK68994,MBR72352,CT137574,4200,17-07-2023 07:25:28,Acumulación,Cross Selling,Completado
UGacdd77c1,SUBK43098,MBR10270,CT86078,7300,12-10-2023 13:52:20,Rendención,Cross Selling,Completado
KqcUo3d8a0,SUBK40179,MBR65874,CT80199,250,10-06-2024 19:15:39,Acumulación,Cross Selling,Completado
wFANJe79cf,SUBK28314,MBR13245,CT56767,8950,04-09-2023 12:50:12,Rendención,Cross Selling,En proceso
JxYGLce3c0,SUBK75189,MBR43890,CT149929,10000,12-09-2024 01:58:49,Rendención,MGM,En proceso
kuFTd0022f,SUBK67792,MBR36743,CT135213,4850,31-08-2023 20:35:31,Rendención,Bienvenida,En proceso
qRIJl6fa3b,SUBK54270,MBR31506,CT108340,2950,24-08-2024 17:14:14,Rendención,Cross Selling,En proceso
EjhsD986af,SUBK89433,MBR52474,CT178408,1950,15-08-2023 11:35:07,Rendención,Cross Selling,En proceso
qBvbS5bb17,SUBK39408,MBR15388,CT78656,6450,07-08-2024 14:47:02,Rendención,Bienvenida,En proceso
RtMkM2644f,SUBK9309,MBR57450,CT18697,8400,25-06-2024 19:14:05,Rendención,MGM,En proceso
SgvIwf1b68,SUBK11152,MBR8168,CT22445,650,15-05-2024 04:20:52,Rendención,Cross Selling,En proceso
mSJPOf6b17,SUBK86224,MBR63472,CT171985,3150,09-07-2024 14:29:00,Acumulación,MGM,En proceso
xoHgy09f4c,SUBK56208,MBR72648,CT112213,6250,19-08-2024 09:37:51,Acumulación,Bienvenida,Completado
veKejcaebc,SUBK22775,MBR33846,CT45694,7450,21-10-2023 14:34:22,Rendención,Bienvenida,Completado
clyyGeb749,SUBK73864,MBR44688,CT147314,350,01-06-2024 08:18:37,Rendención,Cross Selling,En proceso
PFuNycda43,SUBK61674,MBR17598,CT123081,5500,15-04-2024 19:20:08,Acumulación,MGM,En proceso
nBWHh0380d,SUBK17836,MBR9301,CT35864,4000,10-09-2024 17:15:56,Acumulación,MGM,Completado
tLhINe8660,SUBK85142,MBR89394,CT169842,4750,13-01-2023 14:13:04,Rendención,Bienvenida,En proceso
hxGKA147ec,SUBK32691,MBR26305,CT65441,5100,24-06-2023 11:01:41,Rendención,Bienvenida,En proceso
GgYap16994,SUBK41478,MBR16419,CT82806,9850,26-01-2024 15:48:17,Rendención,Cross Selling,Completado
fQwDFc3f36,SUBK82799,MBR55433,CT165148,4300,27-06-2023 19:08:09,Rendención,MGM,En proceso
oBfgt30e34,SUBK47677,MBR37894,CT95203,4700,25-04-2024 22:14:49,Acumulación,MGM,En proceso
DxZem92942,SUBK46796,MBR33246,CT93449,8400,06-02-2023 08:53:45,Rendención,Cross Selling,En proceso
cTexf5f6d1,SUBK15923,MBR24657,CT32029,3350,04-12-2023 00:36:06,Acumulación,Bienvenida,Completado
RDmZW4aa56,SUBK2893,MBR88776,CT05787,5700,09-08-2023 08:34:17,Rendención,Cross Selling,Completado
VrvIE79966,SUBK37129,MBR48543,CT74124,8850,03-02-2024 21:38:03,Rendención,Bienvenida,Completado
UFyKfd1362,SUBK18659,MBR16079,CT37441,4900,27-06-2023 00:24:55,Rendención,MGM,En proceso
Fxfld13d8b,SUBK7774,MBR75834,CT15602,6050,23-06-2024 13:48:38,Rendención,Cross Selling,Completado
PDOSQ75564,SUBK24951,MBR78539,CT50020,5800,20-01-2023 03:15:03,Acumulación,Cross Selling,En proceso
RcnVW3ab6f,SUBK17318,MBR85127,CT34833,1850,16-02-2024 05:26:33,Acumulación,MGM,En proceso
YgPPM8e049,SUBK40390,MBR50990,CT80611,1550,24-03-2024 19:14:02,Rendención,MGM,Completado
linpAeb7f1,SUBK18321,MBR38994,CT36791,4550,30-05-2024 01:12:58,Acumulación,MGM,Completado
Glhgad7861,SUBK3528,MBR54965,CT07108,1250,29-10-2024 20:02:43,Acumulación,MGM,Completado
iraDFda9fa,SUBK13870,MBR24139,CT27906,8800,18-02-2023 03:28:03,Acumulación,Cross Selling,En proceso
lLAVt036d4,SUBK39216,MBR49526,CT78268,5650,29-03-2024 21:18:31,Rendención,Bienvenida,Completado
peICg7a7a7,SUBK39983,MBR3507,CT79805,9300,27-06-2023 01:02:15,Acumulación,Cross Selling,Completado
gxyXK38f2f,SUBK53341,MBR41641,CT106482,7750,26-01-2024 10:47:08,Rendención,Cross Selling,En proceso
xsbDE1b0fa,SUBK13553,MBR39673,CT27256,1050,21-01-2023 23:31:03,Acumulación,MGM,Completado
eTTUyfcdaa,SUBK89505,MBR76959,CT178549,3800,06-10-2024 05:08:14,Rendención,Cross Selling,En proceso
XAmJV19e21,SUBK24513,MBR40843,CT49159,6050,15-11-2023 09:01:32,Acumulación,Bienvenida,Completado
ETtoMdb51e,SUBK27460,MBR2215,CT55081,800,14-09-2023 07:26:11,Acumulación,Bienvenida,En proceso
gxxNw3fffa,SUBK19323,MBR16671,CT38755,2500,14-01-2024 03:01:06,Rendención,MGM,Completado
MvSoO47d39,SUBK34920,MBR68488,CT69854,3100,09-03-2023 16:40:10,Rendención,Cross Selling,En proceso
gztZb2d9b5,SUBK86179,MBR32295,CT171896,9300,17-12-2024 10:54:27,Acumulación,MGM,En proceso
ENouC66a47,SUBK61506,MBR28449,CT122741,5700,02-08-2023 16:17:48,Acumulación,MGM,Completado
Rilww11477,SUBK8034,MBR48825,CT16143,5450,27-07-2023 02:12:06,Rendención,Cross Selling,En proceso
ShJrv19919,SUBK62657,MBR83427,CT124982,9900,24-11-2024 03:02:05,Acumulación,Bienvenida,En proceso
eDoxFaf148,SUBK61610,MBR43296,CT122953,1650,27-01-2023 14:54:59,Acumulación,MGM,En proceso
InJMibeb38,SUBK66474,MBR80432,CT132563,250,17-01-2023 12:29:46,Acumulación,Bienvenida,En proceso
Mijhcf7024,SUBK1208,MBR36992,CT02388,7250,17-05-2024 05:44:10,Rendención,MGM,En proceso
wZovt3333c,SUBK69545,MBR78192,CT138697,1900,12-06-2023 07:34:25,Rendención,Bienvenida,En proceso
TYoJDcd298,SUBK27696,MBR50067,CT55546,5650,01-04-2023 18:44:39,Rendención,MGM,Completado
rQYStc5ead,SUBK34418,MBR84607,CT68905,1200,10-10-2023 00:18:04,Acumulación,Bienvenida,En proceso
uIcIAddc0e,SUBK13451,MBR54948,CT27037,3850,29-02-2024 19:16:37,Rendención,Cross Selling,Completado
HPDbp3ea62,SUBK70572,MBR82646,CT140745,5650,17-05-2023 14:33:34,Acumulación,Cross Selling,En proceso
JPAEG75d1c,SUBK51499,MBR43574,CT102819,5700,23-04-2023 02:51:34,Acumulación,Cross Selling,Completado
HssZvd1327,SUBK39273,MBR14380,CT78379,350,04-08-2024 03:38:08,Rendención,Bienvenida,En proceso
vpqxq77f6d,SUBK74497,MBR12510,CT148556,6750,09-11-2024 06:39:20,Rendención,MGM,Completado
xZlSlb0be4,SUBK83820,MBR59510,CT167189,650,15-03-2023 19:11:57,Acumulación,Bienvenida,Completado
YgsFGba962,SUBK53334,MBR59810,CT106470,3050,24-03-2023 13:30:20,Rendención,Bienvenida,Completado
zsBuea91c2,SUBK24468,MBR50815,CT49081,4050,17-05-2023 03:20:39,Acumulación,Cross Selling,Completado
mgnuida345,SUBK57129,MBR15382,CT114033,2650,18-01-2023 02:26:10,Rendención,Bienvenida,En proceso
ELdFmcd2a2,SUBK29726,MBR54376,CT59563,4650,05-07-2024 09:04:21,Rendención,Bienvenida,Completado
nqxva4412b,SUBK59191,MBR1343,CT118079,2050,29-10-2024 13:08:00,Acumulación,Bienvenida,Completado
PVdgy15d27,SUBK80969,MBR22522,CT161482,4950,06-01-2023 04:19:55,Rendención,MGM,En proceso
WlVsn89fd7,SUBK87138,MBR68193,CT173813,1650,26-08-2023 14:33:13,Acumulación,Cross Selling,En proceso
prsiy8e96b,SUBK73554,MBR54111,CT146694,5500,24-10-2024 15:16:03,Acumulación,Cross Selling,Completado
EgnID43661,SUBK40969,MBR1060,CT81764,3750,04-12-2024 13:10:06,Rendención,MGM,En proceso
lToKt62dc1,SUBK38730,MBR37944,CT77307,2700,21-05-2023 19:50:01,Rendención,Bienvenida,En proceso
yRSfBac96b,SUBK74315,MBR65960,CT148182,6400,12-02-2023 18:14:28,Acumulación,MGM,Completado
qnExu99764,SUBK19792,MBR85912,CT39682,7250,16-02-2024 10:54:36,Acumulación,Cross Selling,En proceso
HBCkMa3218,SUBK6926,MBR81643,CT13914,8250,06-09-2024 02:45:51,Rendención,Cross Selling,En proceso
dHkNf2cc70,SUBK57428,MBR55309,CT114626,8750,18-03-2024 14:17:45,Rendención,MGM,Completado
PmvgA3801f,SUBK10827,MBR47212,CT21772,9300,23-05-2024 19:33:50,Acumulación,MGM,Completado
fbrhX625a8,SUBK23283,MBR31637,CT46722,8800,04-11-2024 10:39:28,Rendención,Bienvenida,En proceso
muDxGfd7e5,SUBK61396,MBR18741,CT122517,900,14-11-2024 00:30:30,Acumulación,Bienvenida,Completado
IGQMr05364,SUBK43193,MBR44007,CT86266,9050,20-01-2024 14:02:46,Acumulación,MGM,En proceso
euoMYd0d0b,SUBK73282,MBR46206,CT146144,1450,02-01-2023 16:48:14,Rendención,Bienvenida,En proceso
BajoS3bf9d,SUBK70373,MBR60667,CT140357,1950,18-10-2023 06:01:35,Acumulación,MGM,Completado
yyfLr76337,SUBK88008,MBR15936,CT175576,8050,08-02-2024 17:17:08,Rendención,Bienvenida,En proceso
GBIBfe7adc,SUBK18618,MBR56342,CT37369,100,11-09-2024 01:07:18,Acumulación,Bienvenida,Completado
vxDHpbdc36,SUBK57257,MBR88929,CT114272,5250,25-06-2024 04:46:47,Rendención,Cross Selling,En proceso
lViXvcdec3,SUBK25393,MBR45778,CT50898,2600,28-03-2023 04:48:51,Rendención,MGM,Completado
nohIc114ee,SUBK29188,MBR16586,CT58514,4850,12-12-2024 06:35:51,Acumulación,Bienvenida,Completado
qmeRG44097,SUBK38599,MBR24879,CT77039,1100,21-08-2023 17:07:07,Acumulación,Bienvenida,Completado
xtJcs211ff,SUBK73197,MBR67057,CT145974,2800,09-11-2023 08:12:32,Acumulación,MGM,En proceso
clnMUefbb8,SUBK33373,MBR80385,CT66827,3000,14-08-2023 05:04:38,Acumulación,MGM,En proceso
yewHneef71,SUBK48989,MBR19512,CT97789,6050,14-01-2023 11:43:32,Acumulación,Cross Selling,En proceso
LHZSFbb960,SUBK53892,MBR44601,CT107584,8450,28-03-2024 18:34:20,Rendención,Bienvenida,Completado
gaFiRb3402,SUBK51833,MBR47597,CT103479,9050,04-07-2024 01:44:51,Rendención,Cross Selling,Completado
PysdR7fb98,SUBK51547,MBR28738,CT102908,8800,06-10-2024 03:21:47,Rendención,Cross Selling,Completado
cMzpJ90abe,SUBK33245,MBR72892,CT66568,3850,30-08-2024 10:58:34,Rendención,Bienvenida,Completado
hSQWJ35988,SUBK33936,MBR68028,CT67953,6150,06-10-2024 20:15:28,Rendención,MGM,En proceso
xhRZod965c,SUBK42912,MBR21587,CT85689,3800,21-02-2023 15:00:06,Acumulación,Bienvenida,En proceso
ptouQ4a53c,SUBK29017,MBR46986,CT58159,2150,22-07-2024 18:52:31,Rendención,Cross Selling,En proceso
oOSuQ3c905,SUBK71173,MBR48249,CT141941,3350,07-10-2024 02:15:10,Rendención,MGM,Completado
lwoCE1f141,SUBK59173,MBR18341,CT118048,9400,25-11-2024 07:23:49,Rendención,Cross Selling,Completado
OUFJm56697,SUBK50556,MBR12606,CT100912,2650,30-03-2024 00:18:55,Acumulación,Cross Selling,Completado
DDAkFce40a,SUBK18828,MBR13340,CT37785,5000,02-01-2024 16:50:09,Rendención,MGM,En proceso
ajSUT3a627,SUBK54663,MBR63538,CT109125,4400,24-12-2024 12:29:59,Rendención,Cross Selling,Completado
kSBpSa77d6,SUBK78061,MBR65205,CT155641,450,19-04-2023 04:02:14,Acumulación,MGM,Completado
xJKIfcef51,SUBK61446,MBR89510,CT122612,4300,01-09-2023 07:03:40,Acumulación,MGM,En proceso
SXKkac99d5,SUBK88109,MBR26463,CT175774,8500,24-01-2023 13:10:56,Acumulación,Bienvenida,Completado
fiCPy2b185,SUBK49949,MBR18688,CT99696,3700,05-06-2024 01:47:37,Rendención,Cross Selling,En proceso
SPboz89710,SUBK48741,MBR62539,CT97288,2650,10-05-2023 04:49:30,Acumulación,Cross Selling,En proceso
gEkOde4702,SUBK65734,MBR21713,CT131108,1800,22-06-2024 03:15:18,Rendención,MGM,En proceso
VmHtc73fb8,SUBK84624,MBR67317,CT168823,1250,12-01-2023 06:01:14,Acumulación,MGM,Completado
juewN89db2,SUBK75584,MBR78816,CT150714,9500,03-04-2024 13:31:54,Acumulación,MGM,En proceso
vpinz6c0b3,SUBK53770,MBR34361,CT107350,7100,14-01-2023 11:07:49,Acumulación,Cross Selling,Completado
pgxbofd436,SUBK67190,MBR49170,CT134011,2800,22-10-2023 09:24:15,Acumulación,Cross Selling,Completado
RTAIU619a5,SUBK78083,MBR77333,CT155687,5200,11-06-2024 20:21:36,Acumulación,Cross Selling,En proceso
TVkWO2b318,SUBK43973,MBR11402,CT87839,6550,19-02-2023 09:24:13,Rendención,Bienvenida,En proceso
jguChaca59,SUBK55994,MBR40503,CT111774,5550,18-09-2024 22:46:07,Rendención,Cross Selling,Completado
KHpCIf54ee,SUBK66463,MBR21005,CT132545,7600,23-09-2023 11:04:10,Acumulación,Bienvenida,Completado
BCcES57eea,SUBK46498,MBR11319,CT92835,1150,16-12-2024 12:07:26,Rendención,Cross Selling,Completado
IipDjeebfe,SUBK4405,MBR34495,CT08841,3250,21-09-2024 06:46:13,Rendención,MGM,En proceso
KjkbC47423,SUBK20673,MBR35284,CT41458,8600,20-09-2024 21:29:46,Acumulación,MGM,En proceso
CeAfy1cf54,SUBK35682,MBR70959,CT71351,1050,28-03-2023 07:28:29,Acumulación,Bienvenida,En proceso
oAabn659b4,SUBK45575,MBR67000,CT91015,4750,11-01-2024 13:53:39,Acumulación,Cross Selling,En proceso
xkOexb4a3e,SUBK25530,MBR37795,CT51173,3400,24-05-2024 08:50:57,Acumulación,MGM,En proceso
dRSWTe855a,SUBK54711,MBR76150,CT109219,3800,24-02-2024 12:37:37,Rendención,MGM,Completado
hkXbUc4488,SUBK23891,MBR61669,CT47941,9800,08-09-2023 10:55:39,Rendención,MGM,Completado
iQFHS85061,SUBK84376,MBR63242,CT168326,2450,17-06-2024 10:42:58,Rendención,Bienvenida,En proceso
iWGetd5615,SUBK48863,MBR56090,CT97542,5450,02-12-2024 09:24:45,Acumulación,MGM,En proceso
IGHmucd4ce,SUBK9179,MBR88371,CT18447,5150,28-12-2024 11:37:52,Rendención,Bienvenida,En proceso
QiHcB03951,SUBK54315,MBR22428,CT108427,6950,31-07-2024 03:24:40,Acumulación,MGM,En proceso
ccfrac51ce,SUBK35157,MBR74741,CT70323,3850,25-12-2023 08:12:14,Rendención,Bienvenida,En proceso
dYgip388c8,SUBK10345,MBR54851,CT20791,8400,10-11-2023 09:22:42,Acumulación,MGM,Completado
acFtCdefc3,SUBK81251,MBR49579,CT162062,8950,19-04-2024 06:44:03,Rendención,Cross Selling,En proceso
JbaCT10d10,SUBK68662,MBR6949,CT136915,5750,31-01-2023 21:02:17,Acumulación,MGM,Completado
lyvXT48d63,SUBK70840,MBR68555,CT141254,9200,24-05-2024 21:05:56,Acumulación,MGM,En proceso
EWCAQa1ca9,SUBK59007,MBR33653,CT117717,6750,30-11-2023 01:09:18,Acumulación,Cross Selling,Completado
RnZJJ2062a,SUBK36501,MBR21060,CT72950,4600,09-12-2024 19:18:46,Acumulación,Cross Selling,Completado
FKmfz9f5bd,SUBK38262,MBR34846,CT76373,8100,25-06-2024 17:00:05,Acumulación,MGM,Completado
dwNiR63c00,SUBK1611,MBR40845,CT03210,8000,02-10-2023 13:13:07,Rendención,Cross Selling,En proceso
PGpUob395a,SUBK15222,MBR22076,CT30590,10000,28-01-2023 17:42:36,Acumulación,Cross Selling,Completado
eKPaP167cc,SUBK78661,MBR76146,CT156851,4800,16-05-2024 16:28:00,Rendención,Cross Selling,En proceso
SIiBD9d8fc,SUBK75023,MBR33605,CT149607,6900,12-07-2024 07:10:16,Acumulación,Bienvenida,Completado
DEkkua0702,SUBK19388,MBR25551,CT38880,850,02-07-2024 05:00:40,Rendención,MGM,En proceso
ekwer55d94,SUBK75754,MBR34596,CT151036,1050,23-11-2023 16:27:43,Acumulación,Cross Selling,En proceso
LRsqv0ad1a,SUBK23886,MBR5009,CT47933,2000,15-12-2024 16:42:07,Rendención,Cross Selling,En proceso
IyMMf11b12,SUBK68174,MBR13403,CT135949,8450,24-04-2023 16:27:43,Rendención,Bienvenida,En proceso
PywHo6cd7c,SUBK85353,MBR67345,CT170246,3650,14-01-2024 09:01:29,Rendención,Bienvenida,Completado
GMomz7b382,SUBK56591,MBR79019,CT112973,9050,26-06-2023 22:59:07,Acumulación,Bienvenida,Completado
xHwWF900d1,SUBK44355,MBR42223,CT88606,2850,19-04-2024 08:24:48,Acumulación,Cross Selling,Completado
WRpSlef157,SUBK83219,MBR41528,CT165996,1650,17-09-2023 07:46:52,Acumulación,Bienvenida,Completado
BbpPCcc95e,SUBK28689,MBR47036,CT57499,7000,22-06-2023 20:47:47,Acumulación,Bienvenida,En proceso
MIoRkbc262,SUBK59073,MBR6242,CT117850,8350,10-11-2024 09:34:07,Rendención,Bienvenida,Completado
ssdRq6b018,SUBK34900,MBR2889,CT69820,8200,14-05-2023 22:41:57,Acumulación,Bienvenida,Completado
ssseqfc558,SUBK88154,MBR63415,CT175866,7750,17-08-2024 08:45:59,Acumulación,Bienvenida,Completado
CFkcza64aa,SUBK18995,MBR26714,CT38113,4250,27-10-2024 22:31:09,Acumulación,Cross Selling,En proceso
GFiRxa2167,SUBK26664,MBR39444,CT53493,3350,20-04-2023 20:28:16,Acumulación,Bienvenida,En proceso
SdIfk69571,SUBK37874,MBR7204,CT75585,1650,12-06-2023 10:46:22,Rendención,MGM,En proceso
MQHJYa90b2,SUBK50357,MBR77518,CT100515,5100,10-02-2023 10:34:02,Rendención,Cross Selling,En proceso
bEtSj8bcbc,SUBK25494,MBR75762,CT51103,7250,02-10-2024 02:50:53,Rendención,MGM,Completado
EXBXe786d4,SUBK89419,MBR5037,CT178382,3350,15-02-2023 12:35:56,Rendención,MGM,Completado
jGgkt79adb,SUBK78676,MBR40196,CT156876,2500,05-12-2024 02:21:45,Acumulación,MGM,Completado
XfNmjf44ed,SUBK27642,MBR67756,CT55438,3300,31-08-2024 01:49:05,Rendención,Bienvenida,En proceso
ScvHla2279,SUBK16271,MBR15710,CT32725,4000,28-07-2024 16:43:29,Acumulación,Cross Selling,Completado
Biywib6fc5,SUBK55761,MBR70065,CT111298,8450,13-07-2023 02:22:46,Rendención,Bienvenida,Completado
oTZTsd3589,SUBK83723,MBR24684,CT166999,250,17-04-2023 20:03:05,Rendención,Cross Selling,Completado
ijBFQ9f86c,SUBK5789,MBR21170,CT11626,5600,09-12-2024 20:00:29,Acumulación,MGM,En proceso
oRJDM88971,SUBK30118,MBR64188,CT60331,8450,21-09-2024 16:25:49,Rendención,Bienvenida,Completado
Mmmfxbd814,SUBK48068,MBR65125,CT95975,8150,02-09-2023 15:43:37,Rendención,Cross Selling,En proceso
YlxpV3158f,SUBK51317,MBR51014,CT102457,9550,21-05-2023 02:45:17,Rendención,MGM,En proceso
jzuFYcac4e,SUBK39594,MBR54707,CT79035,850,27-04-2023 07:54:01,Rendención,Bienvenida,Completado
UjRoDa2a2f,SUBK42007,MBR10379,CT83851,2700,06-12-2024 18:16:53,Acumulación,Bienvenida,Completado
aVtrB1dff9,SUBK50710,MBR032,CT101215,850,14-11-2024 08:30:03,Rendención,Bienvenida,En proceso
VYqkx59d71,SUBK20653,MBR61289,CT41423,7000,04-09-2023 17:09:02,Acumulación,Cross Selling,En proceso
Hqbei3a491,SUBK42224,MBR46781,CT84291,8000,06-12-2024 09:56:22,Acumulación,Cross Selling,En proceso
HZOUQ6e328,SUBK56404,MBR1982,CT112611,5900,04-03-2023 06:07:57,Acumulación,Cross Selling,Completado
KVaFz302b1,SUBK57878,MBR75166,CT115519,550,03-03-2024 03:29:13,Acumulación,Bienvenida,En proceso
